mass_A
t,x,y
0.000000000E0,-1.990397755E1,-1.188936493E0
4.166666667E-3,-1.991555488E1,-1.384520824E0
8.333333333E-3,-1.983435219E1,-1.664425578E0
1.250000000E-2,-1.979507612E1,-2.162174943E0
1.666666667E-2,-1.961899898E1,-3.364808729E0
2.083333333E-2,-1.915584516E1,-5.496693874E0
2.500000000E-2,-1.789363155E1,-8.115621301E0
2.916666667E-2,-1.636800179E1,-1.109677352E1
3.333333333E-2,-1.425579341E1,-1.388625933E1
3.750000000E-2,-1.138348258E1,-1.632782350E1
4.166666667E-2,-8.566299809E0,-1.785287811E1
4.583333333E-2,-4.314761161E0,-1.901036507E1
5.000000000E-2,-4.861504419E-1,-1.994525839E1
5.416666667E-2,3.369171515E0,-1.959801230E1
5.833333333E-2,6.338179509E0,-1.898649349E1
6.250000000E-2,8.783707178E0,-1.796004495E1
6.666666667E-2,1.055615384E1,-1.691957388E1
7.083333333E-2,1.164430147E1,-1.640354511E1
7.500000000E-2,1.211128112E1,-1.603935437E1
7.916666667E-2,1.193436853E1,-1.618210640E1
8.333333333E-2,1.115318152E1,-1.672152296E1
8.750000000E-2,9.733880236E0,-1.758292219E1
9.166666667E-2,7.891483742E0,-1.848324114E1
9.583333333E-2,5.652137934E0,-1.926979262E1
1.000000000E-1,3.229903858E0,-1.985882948E1
1.041666667E-1,6.945799010E-1,-2.007059400E1
1.083333333E-1,-1.880000128E0,-1.999642291E1
1.125000000E-1,-4.342691674E0,-1.955966194E1
1.166666667E-1,-6.451012270E0,-1.899719451E1
1.208333333E-1,-8.323436408E0,-1.825118041E1
1.250000000E-1,-9.699487966E0,-1.752035836E1
1.291666667E-1,-1.055269939E1,-1.704630695E1
1.333333333E-1,-1.100578466E1,-1.675781587E1
1.375000000E-1,-1.098683050E1,-1.677953944E1
1.416666667E-1,-1.046937860E1,-1.706396641E1
1.458333333E-1,-9.656189951E0,-1.753724256E1
1.500000000E-1,-8.467331495E0,-1.814432734E1
1.541666667E-1,-7.019025770E0,-1.875634484E1
1.583333333E-1,-5.409941370E0,-1.926412614E1
1.625000000E-1,-3.766755271E0,-1.969706621E1
1.666666667E-1,-2.103852136E0,-1.994336849E1
1.708333333E-1,-4.786176368E-1,-2.010478731E1
1.750000000E-1,9.328360440E-1,-2.006769688E1
1.791666667E-1,2.276819534E0,-2.002170795E1
1.833333333E-1,3.409083269E0,-1.986407857E1
1.875000000E-1,4.295219667E0,-1.965644768E1
1.916666667E-1,4.971769419E0,-1.955407121E1
1.958333333E-1,5.303274768E0,-1.943055453E1
2.000000000E-1,5.364840532E0,-1.943136318E1
2.041666667E-1,5.138081006E0,-1.949947365E1
2.083333333E-1,4.700239509E0,-1.961795420E1
2.125000000E-1,4.066173765E0,-1.975997195E1
2.166666667E-1,3.186572444E0,-1.990912657E1
2.208333333E-1,2.247306335E0,-2.002143910E1
2.250000000E-1,1.223340316E0,-2.013081629E1
2.291666667E-1,1.896290688E-1,-2.013749692E1
2.333333333E-1,-9.227123697E-1,-2.010515490E1
2.375000000E-1,-2.009766386E0,-2.003393199E1
2.416666667E-1,-2.967220912E0,-1.988924291E1
2.458333333E-1,-3.899243158E0,-1.972422263E1
2.500000000E-1,-4.603398113E0,-1.955893615E1
2.541666667E-1,-5.153501769E0,-1.943013557E1
2.583333333E-1,-5.456794864E0,-1.934732112E1
2.625000000E-1,-5.560297057E0,-1.931453674E1
2.666666667E-1,-5.437264276E0,-1.936833157E1
2.708333333E-1,-5.112962098E0,-1.943621259E1
2.750000000E-1,-4.614583145E0,-1.954374620E1
2.791666667E-1,-4.017032948E0,-1.968049686E1
2.833333333E-1,-3.329982658E0,-1.981003075E1
2.875000000E-1,-2.588167690E0,-1.992995414E1
2.916666667E-1,-1.859467503E0,-1.997658030E1
2.958333333E-1,-1.216317241E0,-2.005998435E1
3.000000000E-1,-6.588781710E-1,-2.010672672E1
3.041666667E-1,-1.498539884E-1,-2.011188873E1
3.083333333E-1,2.754071459E-1,-2.013404084E1
3.125000000E-1,5.595949273E-1,-2.012872716E1
3.166666667E-1,7.460983422E-1,-2.013193710E1
3.208333333E-1,8.054632604E-1,-2.013078477E1
3.250000000E-1,7.649820477E-1,-2.014404407E1
3.291666667E-1,6.191484764E-1,-2.016407851E1
3.333333333E-1,4.014226739E-1,-2.015750548E1
3.375000000E-1,9.267477888E-2,-2.015880552E1
3.416666667E-1,-3.009379438E-1,-2.015490724E1
3.458333333E-1,-7.612321961E-1,-2.011547420E1
3.500000000E-1,-1.249827591E0,-2.010012565E1
3.541666667E-1,-1.705396468E0,-2.006854808E1
3.583333333E-1,-2.183732995E0,-2.002511546E1
3.625000000E-1,-2.613009549E0,-1.997931897E1
3.666666667E-1,-2.953771734E0,-1.993162942E1
3.708333333E-1,-3.190635307E0,-1.991182890E1
3.750000000E-1,-3.360922378E0,-1.990338670E1
3.791666667E-1,-3.409410656E0,-1.982850744E1
3.833333333E-1,-3.337264939E0,-1.983661560E1
3.875000000E-1,-3.180085104E0,-1.983825409E1
3.916666667E-1,-2.952203161E0,-1.988665383E1
3.958333333E-1,-2.697836500E0,-1.993437423E1
4.000000000E-1,-2.379111757E0,-1.996794862E1
4.041666667E-1,-2.052322812E0,-1.997363055E1
4.083333333E-1,-1.738563581E0,-2.000567320E1
4.125000000E-1,-1.469832977E0,-1.998854353E1
4.166666667E-1,-1.223640485E0,-2.001625899E1
4.208333333E-1,-1.026094977E0,-2.002868082E1
4.250000000E-1,-8.982481648E-1,-2.000264766E1
4.291666667E-1,-7.973865814E-1,-1.999794268E1
4.333333333E-1,-7.850449176E-1,-2.000684268E1
4.375000000E-1,-8.062130112E-1,-1.999133588E1
4.416666667E-1,-8.932207646E-1,-2.000327764E1
4.458333333E-1,-1.051497181E0,-1.999409934E1
4.500000000E-1,-1.220062476E0,-2.001169634E1
4.541666667E-1,-1.409415363E0,-1.998353240E1
4.583333333E-1,-1.628372898E0,-1.997140235E1
4.625000000E-1,-1.847908515E0,-1.996719921E1
4.666666667E-1,-2.011642060E0,-1.995740075E1
4.708333333E-1,-2.196514946E0,-1.995197154E1
4.750000000E-1,-2.316923311E0,-1.994567781E1
