t,x,y
0.000000000E0,-7.836365637E-2,-5.588666227E-3
1.668333333E-2,-7.836605310E-2,-5.596757840E-3
3.336666667E-2,-7.834733294E-2,-5.711884263E-3
5.005000000E-2,-7.832256047E-2,-5.901613604E-3
6.673333333E-2,-7.816355964E-2,-7.049406366E-3
8.341666667E-2,-7.682679648E-2,-1.673090042E-2
1.001000000E-1,-7.087146441E-2,-3.594164903E-2
1.167833333E-1,-5.435022060E-2,-5.861033239E-2
1.334666667E-1,-2.687885009E-2,-7.590000614E-2
1.501500000E-1,4.818885113E-3,-8.166323072E-2
1.668333333E-1,3.267447060E-2,-7.666843608E-2
1.835166667E-1,5.399840155E-2,-6.475777194E-2
2.002000000E-1,6.686960312E-2,-5.265500032E-2
2.168833333E-1,7.430854655E-2,-4.206693891E-2
2.335666667E-1,7.604903538E-2,-3.924225034E-2
2.502500000E-1,7.389676660E-2,-4.245480114E-2
2.669333333E-1,6.437220580E-2,-5.496029015E-2
2.836166667E-1,5.165554514E-2,-6.668578630E-2
3.003000000E-1,2.616088713E-2,-7.902002420E-2
3.169833333E-1,7.714849866E-4,-8.223444549E-2
3.336666667E-1,-2.361302283E-2,-7.801318848E-2
3.503500000E-1,-3.904279589E-2,-7.089395102E-2
3.670333333E-1,-5.278766037E-2,-6.059873726E-2
3.837166667E-1,-6.024990143E-2,-5.233039054E-2
4.004000000E-1,-7.477544678E-2,-2.772926745E-2
4.170833333E-1,-5.896080027E-2,-5.361553775E-2
4.337666667E-1,-4.916331848E-2,-6.322091206E-2
4.504500000E-1,-3.437104205E-2,-7.301839385E-2
4.671333333E-1,-1.607025568E-2,-8.019083787E-2
4.838166667E-1,5.938678900E-3,-8.239072350E-2
5.005000000E-1,2.778603515E-2,-7.834370678E-2
5.171833333E-1,4.242009710E-2,-7.208869319E-2
5.338666667E-1,5.207732669E-2,-6.552620189E-2
5.505500000E-1,5.764844379E-2,-6.149194468E-2
5.672333333E-1,5.822476625E-2,-6.129983719E-2
5.839166667E-1,5.380629407E-2,-6.437355697E-2
6.006000000E-1,4.420091976E-2,-7.071310401E-2
6.172833333E-1,3.381746916E-2,-7.844440413E-2
6.339666667E-1,1.567197321E-2,-8.298206558E-2
6.506500000E-1,-5.338693110E-3,-8.199841400E-2
6.673333333E-1,-1.967051662E-2,-7.918086279E-2
6.840166667E-1,-3.513947199E-2,-7.301839385E-2
7.007000000E-1,-4.167112652E-2,-6.879202915E-2
7.173833333E-1,-4.551327624E-2,-6.648673932E-2
7.340666667E-1,-4.455273881E-2,-6.648673932E-2
